交易日期,開盤價,最高價,最低價,收盤價,漲跌(元),漲跌(%),成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,合計,外資持股(%),融資增減,融資餘額,融券增減,融券餘額,券資比(%)
8月31日,257.5,259,254,256,-7.5,-2.85%,"70,001","19,019",3.7,179.2,"-2,169",52,"1,052","-1,065",77.8,"1,322","11,139",-396,"3,028",27.2
8月30日,264.5,268,262.5,263.5,4.5,1.74%,"52,623","22,862",2.3,139.1,"17,288",641,"-1,113","16,816",77.8,-507,"9,817",202,"3,424",34.9
8月29日,253.5,259,253.5,259,9.5,3.81%,"57,633","25,668",2.2,147.8,"27,216","1,054",-823,"27,447",77.8,131,"10,324",522,"3,222",31.2
8月28日,248.5,250,248,249.5,4.5,1.84%,"40,411","16,881",2.4,100.8,"17,316",362,174,"17,852",77.7,643,"10,193",268,"2,700",26.5
8月27日,246,246.5,244.5,245,1.5,0.62%,"15,579","7,858",2,38.3,"6,402",44,732,"7,178",77.6,-376,"9,550",50,"2,432",25.5
8月24日,245.5,246,243,243.5,-1,-0.41%,"15,447","5,099",3,37.7,-961,202,-528,"-1,287",77.6,267,"9,926",41,"2,382",24
8月23日,243,244.5,243,244.5,2.5,1.03%,"17,216","5,660",3,42,"3,105",543,125,"3,773",77.6,-385,"9,659",113,"2,341",24.2
8月22日,241.5,242.5,240.5,242,1,0.41%,"12,679","5,009",2.5,30.6,-556,62,"-1,102","-1,596",77.5,99,"10,044",6,"2,228",22.2
8月21日,239,241,238.5,241,1.5,0.63%,"13,871","5,474",2.5,33.3,"-2,154",164,185,"-1,805",77.5,207,"9,945",-60,"2,222",22.3
8月20日,239.5,240,238,239.5,0,0%,"17,014","6,640",2.6,40.7,337,-221,225,341,77.6,-34,"9,738",14,"2,282",23.4
8月17日,239.5,241,239,239.5,0.5,0.21%,"19,634","6,680",2.9,47.1,"1,050",42,-597,495,77.6,260,"9,772",70,"2,268",23.2
8月16日,238,241.5,238,239,-2.5,-1.04%,"19,156","9,397",2,45.9,"-2,205",-11,554,"-1,662",77.5,342,"9,512",-183,"2,198",23.1
8月15日,244.5,244.5,239.5,241.5,-2,-0.82%,"19,236","8,920",2.2,46.4,"2,759",-398,"-2,145",216,77.6,73,"9,170",-41,"2,381",26
8月14日,245,245,242.5,243.5,3,1.25%,"17,489","7,415",2.4,42.6,952,130,-362,720,77.5,-239,"9,097",152,"2,422",26.6
8月13日,241.5,243,239,240.5,-4.5,-1.84%,"17,881","9,875",1.8,43,"-5,445",-9,-681,"-6,135",77.5,125,"9,336",-423,"2,270",24.3
8月10日,246.5,247,244.5,245,-2,-0.81%,"16,125","6,558",2.5,39.6,-569,276,94,-199,77.6,26,"9,211",-87,"2,693",29.2
8月9日,247,248,246,247,-0.5,-0.20%,"15,129","7,127",2.1,37.4,"2,746","1,083",-168,"3,661",77.6,-67,"9,185",16,"2,780",30.3
8月8日,245,247.5,244.5,247.5,6,2.48%,"24,382","10,247",2.4,60.1,"10,694",72,-261,"10,505",77.6,-634,"9,252",299,"2,764",29.9
